customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
100000,59.0,Female,East,Graduate,Salaried,787808.87,187895.0,Education,,10,161,21.59,2015-05-16,1
100001,49.0,Female,West,Graduate,Salaried,424101.44,190937.08,Car,612.0,3,47,76.09,2017-11-12,0
100002,35.0,Male,South,Post-Graduate,Salaried,684389.26,357225.39,Other,713.0,6,60,67.68,2016-06-21,0
100003,63.0,Male,South,Secondary,Salaried,711436.96,263997.35,Business,651.0,5,33,15.73,2021-01-18,0
100004,28.0,Female,East,Secondary,,290504.43,264018.9,Other,702.0,11,100,41.16,2021-01-16,1
100005,41.0,Male,North,Secondary,Salaried,664611.86,259990.78,Car,569.0,6,170,15.14,2022-01-09,1
100006,59.0,Male,East,Graduate,Salaried,529218.06,40646.17,Car,661.0,11,156,33.09,2019-09-25,1
100007,39.0,Male,South,Primary,Unemployed,924036.7,442873.74,Home,,11,34,34.61,2018-11-01,1
100008,43.0,Male,North,Secondary,Salaried,773223.9,139007.39,Business,,3,79,51.97,2015-11-11,1
100009,31.0,Male,West,Secondary,Salaried,687815.35,356809.1,Car,581.0,11,58,78.31,2022-06-30,1
100010,31.0,Male,South,Secondary,Salaried,191734.35,222979.35,Car,606.0,11,26,21.88,2016-12-08,1
100011,44.0,Male,West,Post-Graduate,Self-Employed,688997.2,176625.85,Business,750.0,10,158,33.04,2018-05-25,1
100012,56.0,Male,North,Graduate,,447805.2,375244.42,Home,604.0,5,52,51.1,2015-09-21,0
100013,60.0,Female,West,Post-Graduate,Salaried,774705.69,106758.36,Home,548.0,9,91,22.0,2019-04-25,1
100014,44.0,Female,South,Post-Graduate,Self-Employed,568016.53,116911.23,Home,661.0,6,159,59.75,2023-03-09,0
100015,23.0,Female,East,Primary,Salaried,496182.81,268897.14,Home,652.0,9,72,38.26,2021-07-15,1
100016,42.0,Male,West,Post-Graduate,Self-Employed,512676.42,272469.69,Education,611.0,7,33,76.47,2016-04-06,1
100017,22.0,Male,South,Primary,,525956.03,348340.1,Business,637.0,9,42,54.09,2020-08-09,1
100018,44.0,Female,South,Post-Graduate,Salaried,330554.47,335987.06,Business,728.0,8,26,35.42,2018-03-30,1
100019,64.0,Female,North,Secondary,Self-Employed,356796.39,241677.38,Business,704.0,2,185,60.36,2015-11-10,0
100020,50.0,Female,South,Graduate,Salaried,532903.26,262535.98,Home,697.0,4,53,68.71,2017-06-02,0
100021,58.0,Male,East,Post-Graduate,Self-Employed,911027.34,232567.89,Home,555.0,11,162,66.03,2015-05-11,1
100022,22.0,Female,East,Primary,Unemployed,742892.64,420141.06,Car,850.0,9,116,28.39,2020-10-27,1
100023,41.0,Male,West,Graduate,Salaried,,132153.72,Education,734.0,2,108,39.19,2016-10-28,0
100024,53.0,Male,West,Primary,Unemployed,839445.62,253797.5,Business,691.0,4,197,41.65,2019-01-30,0
100025,32.0,Female,West,Secondary,Salaried,656223.12,342342.95,Education,557.0,1,38,37.19,2015-03-06,1
100026,42.0,Female,West,Post-Graduate,Self-Employed,508664.78,383196.4,Business,726.0,2,21,31.76,2016-07-22,0
100027,64.0,Male,East,Graduate,Salaried,,169872.07,Home,610.0,6,109,62.69,2018-12-13,0
100028,45.0,Male,North,Secondary,Salaried,434852.23,133536.87,Home,,7,136,10.86,2023-03-15,1
100029,47.0,Female,West,Post-Graduate,Salaried,762201.62,101026.78,Business,516.0,4,146,30.55,2020-07-09,1
100030,62.0,Male,North,Post-Graduate,,,208845.39,Other,551.0,2,95,19.91,2017-08-04,1
100031,48.0,Male,South,Primary,,1018068.73,280501.66,Home,685.0,3,62,19.01,2022-10-03,0
100032,36.0,Male,South,Primary,Unemployed,419418.33,193338.35,Car,730.0,2,70,29.39,2015-02-21,0
100033,35.0,Female,West,Secondary,,,333904.22,Home,705.0,2,168,63.35,2017-08-01,0
100034,64.0,Male,South,Primary,Salaried,845660.13,242133.15,Car,702.0,8,122,77.86,2022-11-13,1
100035,23.0,Other,North,Secondary,Salaried,724870.77,323140.34,Education,645.0,3,57,46.02,2019-03-08,0
100036,,Female,North,Secondary,Self-Employed,924114.42,267661.39,Home,617.0,5,117,33.73,2021-07-12,0
100037,27.0,Other,South,Secondary,,,47769.19,Home,,2,88,68.04,2015-05-19,0
100038,41.0,Female,West,Primary,Salaried,625653.49,112018.37,Education,716.0,7,56,14.7,2016-01-27,1
100039,29.0,Male,North,Graduate,Salaried,644885.31,388853.58,Car,650.0,11,170,16.52,2015-08-22,1
100040,59.0,Male,North,Secondary,,718024.07,137566.51,Other,747.0,10,76,34.18,2016-03-07,1
100041,38.0,Male,East,Graduate,Salaried,,352233.04,Car,,3,73,41.39,2015-10-15,0
100042,24.0,Male,West,Post-Graduate,Self-Employed,,265149.29,Business,572.0,7,131,65.85,2020-09-07,1
100043,45.0,Female,East,Primary,Self-Employed,771647.21,131854.2,Business,649.0,1,154,74.77,2018-02-03,0
100044,,Male,South,Primary,Salaried,525616.85,339957.4,Business,658.0,8,53,47.19,2016-08-30,1
100045,29.0,Male,South,Graduate,Unemployed,991915.3,192679.08,Education,643.0,1,14,44.7,2021-12-26,0
100046,46.0,Male,East,Post-Graduate,Salaried,625606.24,268187.47,Car,,2,103,24.91,2016-09-24,0
100047,22.0,Female,West,Post-Graduate,Salaried,702904.34,224817.47,Home,714.0,2,199,41.58,2016-09-07,0
100048,,Male,North,Secondary,Salaried,910199.27,20000.0,Business,536.0,4,88,74.66,2020-04-08,1
100049,48.0,Male,South,Primary,Salaried,625886.59,330850.43,Car,773.0,2,48,37.5,2022-05-24,0
100050,27.0,Male,West,Post-Graduate,Salaried,906931.31,342061.77,Home,431.0,11,179,24.75,2021-06-03,1
100051,64.0,Female,West,Post-Graduate,Salaried,716629.23,190711.62,Car,822.0,7,111,33.61,2018-07-13,1
100052,28.0,Female,South,Secondary,Salaried,717016.16,327083.22,Education,627.0,9,101,46.02,2018-03-23,1
100053,,Male,South,Secondary,Salaried,422167.77,145389.64,Business,635.0,6,30,51.9,2017-03-04,0
100054,34.0,Male,West,Graduate,Self-Employed,821292.04,147836.65,Other,645.0,10,184,40.27,2022-08-04,1
100055,37.0,Male,North,Primary,Self-Employed,478721.86,278753.41,Business,681.0,0,83,63.1,2017-07-07,0
100056,56.0,Male,East,Post-Graduate,Salaried,562723.15,166462.79,Business,650.0,5,37,50.91,2023-03-07,0
100057,60.0,Female,South,Graduate,Self-Employed,851839.69,234498.59,Education,639.0,1,158,56.55,2018-01-04,0
100058,,Female,East,Primary,Unemployed,526651.75,137318.45,Home,755.0,7,122,70.4,2017-01-29,1
100059,22.0,Male,West,Graduate,Self-Employed,669557.9,95850.39,Business,695.0,9,37,70.6,2017-04-05,1
100060,26.0,Female,East,Primary,Salaried,589225.52,274925.24,Home,573.0,7,95,24.25,2022-12-01,1
100061,,Male,North,Primary,Salaried,,276045.38,Home,709.0,6,111,53.63,2020-11-17,0
100062,24.0,Female,West,Post-Graduate,Self-Employed,570108.02,252304.65,Education,692.0,7,28,60.16,2020-05-05,1
100063,49.0,Female,North,Primary,Salaried,392764.72,215125.83,Business,606.0,0,72,20.21,2015-10-01,0
100064,38.0,Male,West,Secondary,Salaried,709028.63,165568.97,Education,713.0,7,125,68.99,2021-06-03,1
100065,46.0,Female,North,Post-Graduate,Salaried,,120257.98,Education,637.0,0,189,22.63,2015-07-31,0
100066,64.0,Male,West,Secondary,Self-Employed,483602.52,115552.2,Other,632.0,2,47,65.95,2017-08-13,0
100067,54.0,Male,North,Graduate,Self-Employed,511542.26,177534.9,Education,630.0,3,55,21.3,2021-05-25,0
100068,30.0,Male,West,Graduate,Salaried,782598.25,372553.89,Other,456.0,2,161,61.92,2021-03-06,1
100069,56.0,Male,North,Primary,Salaried,547242.45,277720.19,Home,608.0,11,101,20.37,2019-05-14,1
100070,34.0,Female,West,Primary,Unemployed,618519.43,293230.05,Home,,1,182,36.52,2022-04-13,0
100071,51.0,Female,North,Secondary,Salaried,423680.55,99314.8,Car,648.0,10,18,20.05,2016-11-27,1
100072,35.0,Female,South,Secondary,Salaried,587305.46,272285.81,Car,547.0,10,18,28.95,2021-10-29,1
100073,28.0,Female,East,Secondary,Salaried,424764.26,290448.08,Home,727.0,2,30,78.92,2021-02-16,0
100074,34.0,Female,West,Graduate,Self-Employed,479004.85,440303.69,Business,626.0,8,33,17.54,2022-11-28,1
100075,43.0,Male,North,Secondary,Self-Employed,447163.83,247746.13,Car,552.0,11,104,38.45,2022-06-11,1
100076,60.0,Female,South,Post-Graduate,Unemployed,772656.73,202745.35,Education,826.0,1,102,57.38,2019-08-30,0
100077,41.0,Male,West,Post-Graduate,Salaried,334082.52,158032.63,Car,,4,49,16.62,2016-08-19,1
100078,36.0,Female,West,Graduate,Salaried,653336.34,257169.33,Home,720.0,2,189,17.63,2021-05-09,0
100079,38.0,Female,West,Secondary,Salaried,555375.11,226612.02,Business,588.0,8,141,20.03,2015-10-16,1
100080,44.0,Male,East,Secondary,Self-Employed,,384694.43,Home,661.0,6,140,55.15,2021-02-17,0
100081,46.0,Female,North,Primary,Salaried,,358239.67,Business,578.0,9,150,73.65,2015-09-23,1
100082,45.0,Female,North,Post-Graduate,Salaried,352006.78,130590.75,Car,551.0,11,30,67.82,2017-04-15,1
100083,61.0,Female,West,Graduate,Self-Employed,487895.44,247336.96,Education,692.0,11,17,78.81,2021-04-09,1
100084,49.0,Male,West,Secondary,Salaried,597217.39,543697.6,Education,,2,129,50.47,2016-11-08,0
100085,35.0,Male,West,Primary,Salaried,487854.78,74104.23,Home,742.0,1,119,77.3,2017-09-18,0
100086,21.0,Male,South,Graduate,Self-Employed,781654.67,227588.3,Business,647.0,11,138,31.35,2016-11-11,1
100087,45.0,Male,West,Graduate,Salaried,633988.38,340299.89,Car,,1,23,39.51,2021-03-09,0
100088,27.0,Male,East,Post-Graduate,Salaried,561330.81,221488.26,Business,671.0,4,85,37.72,2016-12-01,0
100089,29.0,Female,North,Secondary,Salaried,796179.47,211357.7,Business,695.0,8,45,13.32,2017-06-29,1
100090,44.0,Male,East,Graduate,Salaried,364528.32,193647.65,Business,541.0,1,159,68.08,2017-03-30,1
100091,21.0,Female,West,Primary,Salaried,546897.46,122334.85,Car,601.0,1,126,11.73,2020-08-17,0
100092,64.0,Female,South,Primary,Self-Employed,649599.83,229713.9,Business,692.0,7,173,61.09,2019-01-03,1
100093,28.0,Female,West,Graduate,Salaried,571737.09,373122.93,Education,643.0,11,54,38.49,2019-06-22,1
100094,44.0,Male,West,Primary,Unemployed,100000.0,97380.27,Home,,2,153,10.44,2016-08-08,0
100095,31.0,Female,West,Graduate,Salaried,667804.72,282003.72,Other,585.0,2,20,30.3,2015-03-19,1
100096,37.0,Female,West,Primary,Salaried,700545.52,379479.59,Business,660.0,5,76,34.23,2017-06-10,0
100097,,Male,West,Graduate,,,247521.59,Education,,5,107,77.53,2022-07-09,0
100098,55.0,Male,North,Graduate,Self-Employed,,199452.41,Education,556.0,5,162,56.28,2020-04-16,1
100099,55.0,Female,East,Graduate,Salaried,464452.88,330920.21,Home,701.0,4,99,48.05,2020-08-05,0
100100,53.0,Male,South,Primary,Self-Employed,559303.61,141966.5,Home,514.0,3,168,18.89,2022-03-03,1
